rank,tier,title,category,gap,placement,effort,current_support,proposed_increment,priority_rationale,observed_precedent,dependencies,source_numbers,source_titles,source_urls,source_notes
1,First shortlist,Standard Schema validation adapter,Validation,Integration,Adapter,L,Custom sync and async validators exist; no exported Standard Schema bridge.,"Accept compatible schemas, execute once per relevant value revision, and map nested issues to live nodes without requiring injection.",Avoids duplicating domain rules and connects several schema ecosystems through one small public entry point.,Angular 22 implements a Standard Schema bridge and tests reactive schemas and nested issue paths.,None,1; 2; 7,Angular 22.1.6: Standard Schema implementation; Angular 22.1.6: Standard Schema tests; TanStack Form: validation,https://github.com/angular/angular/blob/356adf749188d996a641181c56621a6285126f3c/packages/forms/signals/src/api/rules/validation/standard_schema.ts; https://github.com/angular/angular/blob/356adf749188d996a641181c56621a6285126f3c/packages/forms/signals/test/node/api/validators/standard_schema.spec.ts; https://tanstack.com/form/latest/docs/framework/react/guides/validation,"Pinned release implementation; sync/async execution and issue targeting.; Pinned tests; reactive schemas, nested paths, mixed validation and empty values.; Official documentation; unversioned unless indicated."
2,First shortlist,Changes relative to a saved baseline,State,API,Core,M,dirty() records interaction and stays dirty after a user restores the original value.,"Add a separate comparison-based changed state for leaves and aggregates, with explicit equality and array-order semantics.",Supports correct Save buttons and unsaved-change warnings across ordinary edit screens.,React Hook Form exposes isDirty relative to default values.,3,10,React Hook Form: formState,https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/docs/useform/formstate.mdx,"Official documentation source; live master, not a release pin."
3,First shortlist,Redefine the reset baseline after loading or saving,State,API,Core,M,reset(value) changes values and interaction; resetToInitial() retains declaration-time defaults.,"Provide an explicit operation to accept a new baseline, including partial/subtree policy and array identity handling.",Makes the saved server record the next meaningful reset target.,Mantine exposes setInitialValues; Inertia exposes defaults updates.,None,21; 28,Mantine: form values; Inertia v2: forms,https://mantine.dev/form/values/; https://inertiajs.com/docs/v2/the-basics/forms,"Official documentation; unversioned unless indicated.; Versioned v2 reference; newer documentation exists, so this is not a latest-version claim."
4,First shortlist,Refresh server data while preserving local edits,Data workflow,Composition,Helper,L,"set(), patch() and trackBy reconciliation exist; callers implement edit-aware merging.","Merge incoming records against a baseline, preserving edited fields and reporting conflicting edits or row removals.",Prevents a background refresh from silently overwriting work.,Final Form documents keepDirtyOnReinitialize; React Hook Form offers keepDirtyValues.,"2,3",17; 11,Final Form: Config; React Hook Form: reset,https://final-form.org/docs/final-form/types/Config; https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/docs/useform/reset.mdx,"Official documentation; unversioned unless indicated.; Official documentation source; live master, not a release pin."
5,First shortlist,Typed control-to-model codecs,Controls,API,Adapter,L,Native number/date parsing and CVA error contributions exist; custom conversion is application code.,"Expose reusable parse/format contracts with different control and model types, preserving incomplete input and the last valid committed value.","Simplifies dates, money and third-party controls without repeating conversion and error lifecycle logic.",Superforms provides typed value proxies for string-facing inputs.,None,29,Superforms v2: proxy objects,https://superforms.rocks/concepts/proxy-objects,Official documentation; unversioned unless indicated.
6,First shortlist,Validation execution triggers independent of value commits,Validation,API,Core,L,Reactive validators and buffered commits exist; debounce changes when values commit.,"Offer explicit change, blur or submit validation scheduling while retaining immediate committed-value updates when requested.",Reduces expensive work without delaying the model that other application logic reads.,TanStack Form separates validation by event cause.,None,7,TanStack Form: validation,https://tanstack.com/form/latest/docs/framework/react/guides/validation,Official documentation; unversioned unless indicated.
7,First shortlist,Public mutation batching,State,API,Core,M,Individual aggregate operations batch internally; separate consumer operations still form separate updates.,"Expose a scoped batch for several mutations, with defined callback delivery, validation timing and exception behavior.",Keeps dependent multi-field changes coherent and avoids repeated application callbacks.,Final Form exposes batch() and separate validation pause/resume operations.,None,16,Final Form: FormApi,https://final-form.org/docs/final-form/types/FormApi,Official documentation; unversioned unless indicated.
8,First shortlist,Nonblocking warnings,Validation,API,Core,M,Validation errors participate in invalidity; informational feedback requires separate application state.,Add a warning channel with its own aggregation and messages that never blocks submission.,Allows quality advice and suspicious-value hints without misclassifying acceptable data as invalid.,Felte supports separate warning validators and stores.,None,26,Felte: validation,https://felte.dev/docs/svelte/validation,Svelte documentation; separate warning validation is explicit.
9,First shortlist,Backend error maps addressed by paths,Validation,Integration,Adapter,M,onSubmit can return node-targeted errors and rejects stale results; applications translate backend paths themselves.,"Translate configurable backend path formats into live node targets, reporting unmatched paths and preserving request/value revision checks.",Removes recurring glue for nested API validation responses.,Vuelidate accepts external result maps; VeeValidate accepts field error maps.,29,24; 22,Vuelidate: advanced usage; VeeValidate v4: handling forms,https://vuelidate-next.netlify.app/advanced_usage; https://vee-validate.logaretm.com/v4/guide/composition-api/handling-forms,Official documentation; unversioned unless indicated.; Versioned v4 reference; not represented as the newest major.
10,First shortlist,Awaitable validation of a field or subtree,Validation,API,Core,L,Consumers read validation signals and configure validators; no public node-level awaitable validation runner is exposed.,"Run or join relevant validation, resolve against a defined value revision, and handle cancellation, detachment and pending descendants.","Provides a dependable foundation for Next, Check and Save workflows.",VeeValidate exposes validate() and validateField().,None,23,VeeValidate v5: useForm,https://vee-validate.logaretm.com/v5/api/use-form/,Versioned v5 API reference.
11,First shortlist,Shared error visibility policy,Validation UX,Composition,Helper,M,"dirty, touched, submitted and errors are available; each component decides when to show messages.","Provide a reactive visible-errors policy for blur, touch, submission and optional delayed presentation, without altering validity.",Makes custom controls consistent and avoids premature or flickering feedback.,FormKit configures validation visibility separately from rule execution.,None,37,FormKit: validation,https://formkit.com/essentials/validation,Official documentation; unversioned unless indicated.
12,First shortlist,Development-only node inspector,Developer tools,Integration,Tool,L,Signals and error queries are inspectable manually; no dedicated form inspector ships.,"Inspect tree structure, committed/control values, contributing errors, interaction state and ownership, with values redacted by default.",Shortens diagnosis of complex forms and makes the library easier to learn.,React Hook Form ships a DevTools companion.,None,13,React Hook Form DevTools,https://github.com/react-hook-form/devtools,Official companion tool; README/API evidence.
13,First shortlist,First-class wizard controller,Workflow,Composition,Helper,L,"A multi-step cookbook already demonstrates branch rendering, touching and validity checks.","Package step registration, guarded navigation, pending-validation coordination and routing to the step containing a submission error.","Turns a repeated recipe into a consistent, testable workflow API.",FormKit provides step navigation and beforeStepChange guards.,"10,18",36,FormKit: multi-step plugin,https://formkit.com/plugins/multi-step,Official @formkit/addons plugin; navigation helpers and step guards.
14,First shortlist,Autosave coordinator,Data workflow,Composition,Helper,L,"onValueChange can start a save; consumers own queuing, cancellation, retries and saved-state tracking.","Coordinate debounced saves of committed snapshots, coalesce newer edits, expose outcomes, and accept only the revision actually saved as the baseline.",Removes a common source of races and misleading saved indicators.,React Final Form publishes autosave examples.,"2,3,19,25",19,React Final Form: examples,https://final-form.org/docs/react-final-form/examples,"Official recipes; autosave and warnings are examples, not promises about core APIs."
15,First shortlist,Opt-in persistent drafts,Persistence,Integration,Helper,M,Applications can observe values and use storage; no managed persistence adapter ships.,"Persist selected fields with a key, expiry, serialization policy and restore decision; clear the draft only under an explicit successful-save policy.",Protects long forms from reloads without requiring each app to build storage lifecycle code.,FormKit provides a local-storage plugin with persistence hooks and expiry.,16,35,FormKit: local storage plugin,https://formkit.com/plugins/local-storage,Official plugin; persisted drafts and lifecycle options.
16,First shortlist,Capture and restore form checkpoints,State,API,Helper,L,reset and resetToInitial exist; they do not capture arbitrary current interaction and structural checkpoints.,"Capture values, supported node structure and interaction state; restore synchronously while cancelling stale pending work and rebuilding derived validation.","Enables cancelable edits, navigation restoration and reproducible debugging.",Superforms provides capture/restore snapshots.,7,30,Superforms v2: snapshots,https://superforms.rocks/concepts/snapshots,Official documentation; unversioned unless indicated.
17,First shortlist,Export changed values and structural patches,Data workflow,Composition,Helper,L,Full committed values are available; patch() consumes partial updates but does not produce a diff.,"Produce a typed change summary or explicit add/remove/replace/move representation against a chosen baseline, including array identity policy.",Makes PATCH requests and review screens accurate when fields or rows disappear.,Ember Changeset exposes a list of staged changes; structural patch output is our proposed extension.,"2,3,29",46,Ember Changeset,https://github.com/adopted-ember-addons/ember-changeset,"Maintainer repository; staged changes, execution, rollback and snapshots."
18,First shortlist,Accessible error summary with invalid-field navigation,Accessibility,Composition,Helper,M,allErrors and focus() exist; aggregate focus chooses a bound control rather than a dedicated invalid-field navigation strategy.,"Create ordered, labeled summary entries and focus/reveal the corresponding invalid control, including a host hook for hidden pages.",Helps users recover from large invalid submissions with keyboard and assistive technology.,Ant Design provides scrollToFirstError; Conform documents accessible error associations.,44,27; 48,Ant Design: Form; Conform: accessibility,https://ant.design/components/form/; https://conform.guide/accessibility,Official documentation; unversioned unless indicated.; Official documentation; unversioned unless indicated.
19,First shortlist,Cancelable submission with AbortSignal,Submission,API,Core,M,submit() exposes submitting state and blocks concurrent calls; no caller-owned cancellation contract is public.,Pass a request-scoped signal to the submit handler and expose cancellation with defined outcomes and stale-result rejection.,"Supports leaving a screen, replacing an autosave and stopping slow uploads.",Inertia forms expose cancellation.,None,28,Inertia v2: forms,https://inertiajs.com/docs/v2/the-basics/forms,"Versioned v2 reference; newer documentation exists, so this is not a latest-version claim."
20,First shortlist,Async record initialization state,Data workflow,Composition,Helper,M,The edit-server-data recipe loads externally and calls set/reset; loading and request races are application concerns.,"Coordinate loader state, errors, retries and latest-record ownership, then establish the baseline without overwriting intervening edits.",Removes boilerplate from nearly every server-backed edit form.,React Hook Form supports async default values and an isLoading state.,"3,4",12; 10,React Hook Form: useForm; React Hook Form: formState,https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/docs/useform.mdx; https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/docs/useform/formstate.mdx,"Official documentation source; live master, not a release pin.; Official documentation source; live master, not a release pin."
